number_game;date;l_1;l_2;r_1;r_2;all_tickets;combination;totat_winnings_rub;super_prize_rub
223883;2023-05-19T12:12;15;3;26;3;202;239;1890;100000
223884;2023-05-19T12:27;24;7;22;25;251;311;3750;100000
223885;2023-05-19T12:42;25;23;25;23;292;360;4560;100000
223886;2023-05-19T12:57;19;21;23;20;276;343;3480;100000
223887;2023-05-19T13:12;16;26;7;16;317;369;3570;100000
223888;2023-05-19T13:27;22;11;8;16;309;346;4080;100000
223889;2023-05-19T13:42;9;15;14;10;374;451;5010;100000
223890;2023-05-19T13:57;26;20;14;17;382;538;4920;100000
223891;2023-05-19T14:12;16;8;15;21;326;378;3660;100000
223892;2023-05-19T14:27;11;15;1;17;386;423;4080;100000
223893;2023-05-19T14:42;11;16;16;25;353;399;3540;100000
223894;2023-05-19T14:57;19;25;11;26;433;472;4140;101045
223895;2023-05-19T15:12;4;8;9;17;432;499;5250;103985
223896;2023-05-19T15:27;20;7;9;18;381;428;4080;106220
223897;2023-05-19T15:42;18;5;4;7;352;420;4920;108560
223898;2023-05-19T15:57;25;14;17;10;328;403;4350;109940
223899;2023-05-19T16:12;8;5;4;16;368;434;4710;111635
223900;2023-05-19T16:27;19;23;18;21;324;425;4650;113435
223901;2023-05-19T16:42;23;20;26;20;360;449;4710;115160
223902;2023-05-19T16:57;21;26;10;11;364;429;3840;117185
223903;2023-05-19T17:12;25;26;4;23;300;373;4020;119780
223904;2023-05-19T17:27;12;2;25;8;429;522;7980;121355
223905;2023-05-19T17:42;4;3;1;21;414;555;4380;121205
223906;2023-05-19T17:57;24;2;6;7;402;553;3870;125150
223907;2023-05-19T18:12;19;18;18;8;416;460;6690;129575
223908;2023-05-19T18:27;10;3;24;22;386;450;5340;129785
223909;2023-05-19T18:42;21;3;25;13;363;464;3780;131195
223910;2023-05-19T18:57;10;20;16;23;374;497;4740;134375
223911;2023-05-19T19:12;17;8;22;23;348;381;3570;137090
223912;2023-05-19T19:27;7;9;6;21;376;476;4020;139235
223913;2023-05-19T19:42;15;6;16;6;378;456;3660;142355
223914;2023-05-19T19:57;23;9;17;10;416;757;5970;145535
223915;2023-05-19T20:12;3;11;25;18;325;356;3840;150920
223916;2023-05-19T20:27;13;16;15;23;395;428;3510;152420
223917;2023-05-19T20:42;9;19;18;22;342;610;5490;155330
223918;2023-05-19T20:57;15;3;23;7;320;403;4620;158990
223919;2023-05-19T21:12;17;6;12;18;473;658;11100;160415
223920;2023-05-19T21:27;4;13;23;18;376;558;5160;159185
223921;2023-05-19T21:42;25;17;4;17;330;433;4080;162395
223922;2023-05-19T21:57;22;12;15;22;302;467;4260;164810
223923;2023-05-19T22:12;25;8;23;13;323;411;4110;167555
223924;2023-05-19T22:27;14;16;26;20;340;540;6510;169610
223925;2023-05-19T22:42;17;6;21;4;348;456;6930;171200
223926;2023-05-19T22:57;24;16;16;1;391;452;3900;171110
223927;2023-05-19T23:12;20;16;26;18;341;459;4410;173990
223928;2023-05-19T23:27;4;17;2;16;322;1221;10290;176465
223929;2023-05-19T23:42;9;5;11;5;284;558;7200;184490
223930;2023-05-19T23:57;5;10;16;8;297;318;2580;185660
223931;2023-05-20T00:12;2;9;16;5;249;269;2010;187850
223932;2023-05-20T00:27;8;7;4;22;257;283;2460;189875
223933;2023-05-20T00:42;13;25;17;21;271;467;5340;191660
223934;2023-05-20T00:57;3;11;24;3;230;363;2370;193325
223935;2023-05-20T01:12;18;20;9;3;279;299;4320;196400
223936;2023-05-20T01:27;7;25;6;3;156;175;2730;196565
223937;2023-05-20T01:42;19;4;13;14;161;179;1770;196460
223938;2023-05-20T01:57;7;22;6;4;136;145;1830;197375
223939;2023-05-20T02:12;7;11;17;10;122;135;3060;197720
223940;2023-05-20T02:27;2;5;19;10;132;176;1260;196685
223941;2023-05-20T02:42;24;3;25;4;114;128;1230;198065
223942;2023-05-20T02:57;5;23;26;15;103;174;1290;198755
223943;2023-05-20T03:12;20;22;25;3;107;120;1110;200075
223944;2023-05-20T03:27;21;13;10;25;111;114;1230;200765
223945;2023-05-20T03:42;26;3;22;6;97;105;870;201245
223946;2023-05-20T03:57;18;17;2;13;108;108;2580;201950
223947;2023-05-20T04:12;16;23;25;19;108;115;930;200990
223948;2023-05-20T04:27;8;13;24;4;109;122;1530;201785
223949;2023-05-20T04:42;26;15;17;8;141;152;1530;202085
223950;2023-05-20T04:57;9;25;2;1;152;156;1410;202835
223951;2023-05-20T05:12;23;15;21;5;134;144;2850;203765
223952;2023-05-20T05:27;25;8;15;7;166;180;4260;203075
223953;2023-05-20T05:42;5;20;16;1;155;256;1290;201515
223954;2023-05-20T05:57;4;13;5;1;200;237;2790;204065
223955;2023-05-20T06:12;16;20;1;8;189;217;1770;204830
223956;2023-05-20T06:27;26;19;11;2;235;249;1740;206315
223957;2023-05-20T06:42;26;12;10;24;182;198;1650;208310
223958;2023-05-20T06:57;20;18;3;21;221;272;5430;209630
223959;2023-05-20T07:12;6;16;9;25;243;294;2670;208280
223960;2023-05-20T07:27;12;13;22;3;219;237;2310;210020
223961;2023-05-20T07:42;15;1;20;17;263;295;2640;211265
223962;2023-05-20T07:57;11;8;6;16;277;592;6360;213050
223963;2023-05-20T08:12;16;19;11;25;363;477;7380;215570
223964;2023-05-20T08:27;13;11;20;4;287;418;4230;215345
223965;2023-05-20T08:42;14;8;7;3;439;855;8970;217385
223966;2023-05-20T08:57;16;18;16;2;298;495;3720;221240
223967;2023-05-20T09:12;5;11;16;26;295;335;3150;224945
223968;2023-05-20T09:27;8;16;17;14;305;354;4920;226820
223969;2023-05-20T09:42;12;16;14;20;444;699;6270;227210
223970;2023-05-20T09:57;20;10;18;10;415;488;6660;231425
223971;2023-05-20T10:12;3;17;20;17;376;490;4200;232085
223972;2023-05-20T10:27;3;7;21;14;425;559;6570;235235
223973;2023-05-20T10:42;16;20;25;20;402;487;6420;237050
223974;2023-05-20T10:57;19;5;20;3;457;654;8430;237935
223975;2023-05-20T11:12;24;4;22;18;503;584;4980;239315
223976;2023-05-20T11:27;14;2;26;22;435;613;5100;243095
223977;2023-05-20T11:42;11;24;17;25;469;588;4200;247190
223978;2023-05-20T11:57;11;20;21;6;381;504;4830;251810
223979;2023-05-20T12:12;13;8;23;8;377;428;4560;254540
223980;2023-05-20T12:27;20;4;23;7;410;746;5700;256400
223981;2023-05-20T12:42;18;14;6;17;372;918;5070;261890
223982;2023-05-20T12:57;25;3;6;20;370;455;4710;270590
223983;2023-05-20T13:12;18;19;18;8;394;539;7230;272705
223984;2023-05-20T13:27;1;12;21;8;412;628;5490;273560
223985;2023-05-20T13:42;10;14;8;10;423;557;4920;277490
223986;2023-05-20T13:57;8;5;11;18;521;731;10020;280925
223987;2023-05-20T14:12;8;15;15;16;339;522;4200;281870
223988;2023-05-20T14:27;24;8;3;15;441;588;5280;285500
223989;2023-05-20T14:42;6;11;15;3;467;673;5700;289040
223990;2023-05-20T14:57;5;20;7;8;445;539;6990;293435
223991;2023-05-20T15:12;25;2;20;9;420;485;4350;294530
223992;2023-05-20T15:27;9;23;1;20;384;533;5100;297455
223993;2023-05-20T15:42;5;17;23;13;415;478;4410;300350
223994;2023-05-20T15:57;2;23;3;8;373;425;5280;303110
223995;2023-05-20T16:12;2;9;15;17;397;545;6900;304205
223996;2023-05-20T16:27;19;5;3;24;446;491;4290;305480
223997;2023-05-20T16:42;24;19;15;3;491;624;7440;308555
223998;2023-05-20T16:57;7;14;4;6;507;637;6090;310475
223999;2023-05-20T17:12;17;1;6;13;573;677;6360;313940
224000;2023-05-20T18:57;16;22;14;3;1701;1953;20880;317735
224001;2023-05-20T19:12;1;6;19;25;544;608;6240;326150
224002;2023-05-20T19:27;4;11;11;21;506;548;4890;329030
224003;2023-05-20T19:42;16;11;6;18;536;681;6540;332360
224004;2023-05-20T19:57;8;26;23;15;531;677;6690;336035
224005;2023-05-20T20:12;22;13;10;6;503;684;349760;326990
224006;2023-05-20T20:27;13;9;18;4;402;497;5670;100000
224007;2023-05-20T20:42;26;9;20;6;285;331;2910;100000
224008;2023-05-20T20:57;17;23;16;13;280;332;4320;100000
224009;2023-05-20T21:12;13;17;22;17;285;340;2910;100000
224010;2023-05-20T21:27;17;7;2;17;253;272;4050;100000
224011;2023-05-20T21:42;23;22;21;4;264;320;2490;100000
224012;2023-05-20T21:57;3;9;12;16;267;304;4590;100000
224013;2023-05-20T22:12;6;23;20;9;261;282;5670;100000
224014;2023-05-20T22:27;3;21;8;10;362;416;4140;100000
